,hostel_name,distance_centre_km,average_rating,number_reviews,average_price_usd,hw_link
0,EastSeven Berlin Hostel,1.2,9.5,6940,19.13,https://www.hostelworld.com/hosteldetails.php/EastSeven-Berlin-Hostel/Berlin/11286
1,Industriepalast Hostel Berlin,3.3,8.6,1608,14.34,https://www.hostelworld.com/hosteldetails.php/Industriepalast-Hostel-Berlin/Berlin/40694
2,PLUS Berlin,3.4,9.1,16510,12.36,https://www.hostelworld.com/hosteldetails.php/PLUS-Berlin/Berlin/40697
3,Circus Hostel,1,9.3,5350,21.63,https://www.hostelworld.com/hosteldetails.php/Circus-Hostel/Berlin/703
4,ONE80º Hostel - Alexanderplatz,0.6,8.4,4347,13.68,https://www.hostelworld.com/hosteldetails.php/ONE80-Hostel-Alexanderplatz/Berlin/59984
5,Grand Hostel Berlin Classic,3.2,9.2,6717,17.00,https://www.hostelworld.com/hosteldetails.php/Grand-Hostel-Berlin-Classic/Berlin/34160
6,Heart of Gold Hostel,1.3,8.9,7803,10.03,https://www.hostelworld.com/hosteldetails.php/Heart-of-Gold-Hostel/Berlin/5227
7,St Christopher's Berlin Alexanderplatz,0.5,8.8,12671,16.15,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Berlin-Alexanderplatz/Berlin/17515
8,St Christopher's Berlin Mitte,0.5,8.9,6435,10.84,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Berlin-Mitte/Berlin/15426
9,a&o Berlin Mitte,1.8,7.9,906,10.20,https://www.hostelworld.com/hosteldetails.php/a-and-o-Berlin-Mitte/Berlin/6838
10,Eastener Hostel,1.6,8.8,4158,18.43,https://www.hostelworld.com/hosteldetails.php/Eastener-Hostel/Berlin/4827
11,Sunflower Hostel,2.9,8.6,2611,11.09,https://www.hostelworld.com/hosteldetails.php/Sunflower-Hostel/Berlin/732
12,Pfefferbett Hostel,1,9.3,4557,17.34,https://www.hostelworld.com/hosteldetails.php/Pfefferbett-Hostel/Berlin/8999
13,Generator Berlin Mitte,1.3,8.4,3682,18.43,https://www.hostelworld.com/hosteldetails.php/Generator-Berlin-Mitte/Berlin/63287
14,Grand Hostel Berlin Urban,4,8.6,482,13.01,https://www.hostelworld.com/hosteldetails.php/Grand-Hostel-Berlin-Urban/Berlin/285861
15,Three Little Pigs Hostel,2.8,8.7,2544,12.52,https://www.hostelworld.com/hosteldetails.php/Three-Little-Pigs-Hostel/Berlin/15093
16,a&o Berlin Hauptbahnhof,3.1,8.2,628,11.09,https://www.hostelworld.com/hosteldetails.php/a-and-o-Berlin-Hauptbahnhof/Berlin/42091
17,Jugendgästehaus Lichterfelde,13.3,8.9,1418,13.01,https://www.hostelworld.com/hosteldetails.php/Jugendgastehaus-Lichterfelde/Berlin/27264
18,MEININGER Berlin Mitte Humboldthaus,1.2,9.2,2240,13.01,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Mitte-Humboldthaus/Berlin/41421
19,Schlafmeile Hostel,4.2,7.5,3500,3.12,https://www.hostelworld.com/hosteldetails.php/Schlafmeile-Hostel/Berlin/14552
20,Amstel House Hostel,5,8.7,4126,12.77,https://www.hostelworld.com/hosteldetails.php/Amstel-House-Hostel/Berlin/12736
21,The Cat's Pajamas Hostel,3.9,9.3,2109,18.43,https://www.hostelworld.com/hosteldetails.php/The-Cat-s-Pajamas-Hostel/Berlin/70390
22,36 ROOMS Berlin Kreuzberg,3,7.5,2550,16.26,https://www.hostelworld.com/hosteldetails.php/36-ROOMS-Berlin-Kreuzberg/Berlin/35359
23,MEININGER Berlin Central Station,2.8,8.8,4201,16.80,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Central-Station/Berlin/35885
24,Wallyard Concept Hostel,4.4,8.8,1082,21.68,https://www.hostelworld.com/hosteldetails.php/Wallyard-Concept-Hostel/Berlin/89238
25,MEININGER Berlin Tiergarten,4.5,9.4,183,14.82,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Tiergarten/Berlin/286037
26,BackpackerBerlin,3.9,9.1,1593,16.25,https://www.hostelworld.com/hosteldetails.php/BackpackerBerlin/Berlin/23731
27,MEININGER Berlin East Side Gallery,2.4,8.8,667,10.30,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-East-Side-Gallery/Berlin/280374
28,Generator Prenzlauer Berg,3.2,6.6,3889,13.01,https://www.hostelworld.com/hosteldetails.php/Generator-Prenzlauer-Berg/Berlin/2163
29,Die Fabrik - baxpax Hotel,3.6,8.0,462,10.84,https://www.hostelworld.com/hosteldetails.php/Die-Fabrik-baxpax-Hotel/Berlin/271414
30,Eastern & Western Comfort Hostelboats,3.2,8.9,1023,17.75,https://www.hostelworld.com/hosteldetails.php/Eastern-and-Western-Comfort-Hostelboats/Berlin/11864
31,Ballhaus Berlin Hostel,2.3,8.3,927,22.76,https://www.hostelworld.com/hosteldetails.php/Ballhaus-Berlin-Hostel/Berlin/273176
32,Lekkerurlaub,3.1,9.4,497,37.94,https://www.hostelworld.com/hosteldetails.php/Lekkerurlaub/Berlin/57134
33,Singer109 - Backpacker Apartment Hostel,1.2,8.9,1527,16.12,https://www.hostelworld.com/hosteldetails.php/Singer109-Backpacker-Apartment-Hostel/Berlin/27242
34,MEININGER Berlin Alexanderplatz,1.2,8.9,1774,13.01,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Alexanderplatz/Berlin/20338
35,Comebackpackers,2.6,8.0,2756,16.26,https://www.hostelworld.com/hosteldetails.php/Comebackpackers/Berlin/34491
36,Pension Hostel StayComfort am Kurfürstendamm,4.8,7.8,158,10.84,https://www.hostelworld.com/hosteldetails.php/Pension-Hostel-StayComfort-am-Kurfurstendamm/Berlin/284291
37,Kiez Hostel Berlin,2.9,8.7,830,18.37,https://www.hostelworld.com/hosteldetails.php/Kiez-Hostel-Berlin/Berlin/89602
38,a&o Berlin Friedrichshain,4.4,7.6,986,7.53,https://www.hostelworld.com/hosteldetails.php/a-and-o-Berlin-Friedrichshain/Berlin/719
39,Gay Hostel Berlin,5,9.3,387,23.85,https://www.hostelworld.com/hosteldetails.php/Gay-Hostel-Berlin/Berlin/84454
40,Pegasus Hostel,2.2,8.8,2219,15.18,https://www.hostelworld.com/hosteldetails.php/Pegasus-Hostel/Berlin/702
41,Hotel Big Mama,4.5,8.7,22,20.16,https://www.hostelworld.com/hosteldetails.php/Hotel-Big-Mama/Berlin/285129
42,Hostel StayComfort Kreuzberg,3.7,5.4,655,11.38,https://www.hostelworld.com/hosteldetails.php/Hostel-StayComfort-Kreuzberg/Berlin/16170
43,Design Hostel P182,4.6,9.2,48,30.35,https://www.hostelworld.com/hosteldetails.php/Design-Hostel-P182/Berlin/287577
44,MINIMAL,3.7,9.4,420,26.02,https://www.hostelworld.com/hosteldetails.php/MINIMAL/Berlin/85839
45,Smart Stay Berlin City,7.2,8.0,730,2.28,https://www.hostelworld.com/hosteldetails.php/Smart-Stay-Berlin-City/Berlin/75363
46,Metropol Hostel Berlin,3.5,7.8,1177,21.37,https://www.hostelworld.com/hosteldetails.php/Metropol-Hostel-Berlin/Berlin/42712
47,acama Hotel & Hostel Kreuzberg,3.1,9.0,384,17.07,https://www.hostelworld.com/hosteldetails.php/acama-Hotel-and-Hostel-Kreuzberg/Berlin/13695
48,2A Hostel,6.3,7.4,1067,15.61,https://www.hostelworld.com/hosteldetails.php/2A-Hostel/Berlin/57185
49,MEININGER Berlin Airport,16.6,9.1,424,20.60,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Airport/Berlin/57132
50,aletto Hotel Kudamm,5.7,9.3,453,21.63,https://www.hostelworld.com/hosteldetails.php/aletto-Hotel-Kudamm/Berlin/59122
51,Midel Hostel,5.7,9.7,1,28.67,https://www.hostelworld.com/hosteldetails.php/Midel-Hostel/Berlin/304135
52,Safestay Berlin,5.2,0.0,0,25.75,https://www.hostelworld.com/hosteldetails.php/Safestay-Berlin/Berlin/303230
53,Hostel Rixhouse,5.2,4.9,1,10.84,https://www.hostelworld.com/hosteldetails.php/Hostel-Rixhouse/Berlin/300994
